,countrySubd,locality,attomId,saleTransDate,proptype,yearbuilt,universalsize,beds,bathstotal,zipcode
159,VA,GREAT FALLS,8739940,2007-06-18,SFR,2013,2782.0,3.0,5.0,22066
160,VA,GREAT FALLS,8771067,2019-12-18,SFR,1951,1914.0,4.0,4.0,22066
161,VA,GREAT FALLS,8773895,2008-08-11,SFR,1977,2886.0,4.0,4.0,22066
162,VA,GREAT FALLS,8945228,2009-07-29,SFR,1978,3717.0,5.0,5.0,22066
163,VA,GREAT FALLS,8965493,2010-08-26,SFR,1987,3722.0,4.0,5.0,22066
164,VA,GREAT FALLS,8992480,2007-02-23,SFR,1979,2000.0,4.0,3.0,22066
165,VA,GREAT FALLS,8992607,2013-05-30,SFR,1978,2352.0,4.0,3.0,22066
166,VA,GREAT FALLS,9107574,2022-06-24,SFR,1992,4636.0,4.0,5.0,22066
167,VA,GREAT FALLS,9116663,2020-11-24,SFR,1986,1902.0,4.0,4.0,22066
168,VA,GREAT FALLS,9158452,2020-08-07,SFR,2011,6683.0,5.0,8.0,22066
169,VA,GREAT FALLS,9229205,2009-07-27,SFR,1995,2632.0,4.0,4.0,22066
170,VA,GREAT FALLS,9464144,2016-08-17,SFR,1978,2630.0,5.0,4.0,22066
171,VA,GREAT FALLS,9465523,2006-12-13,SFR,1978,2368.0,4.0,4.0,22066
172,VA,GREAT FALLS,9484506,2020-07-15,SFR,1976,1137.0,3.0,3.0,22066
173,VA,GREAT FALLS,9707324,2007-03-15,SFR,1981,3038.0,4.0,4.0,22066
174,VA,GREAT FALLS,10155765,2008-08-25,SFR,1977,1296.0,3.0,3.0,22066
175,VA,GREAT FALLS,10392279,2010-06-07,SFR,1988,3466.0,4.0,4.0,22066
176,VA,GREAT FALLS,10393374,2009-09-25,SFR,1987,3476.0,4.0,5.0,22066
177,VA,GREAT FALLS,10572043,2014-05-16,SFR,1995,4050.0,5.0,5.0,22066
178,VA,GREAT FALLS,11051072,2012-09-14,SFR,1966,2319.0,4.0,4.0,22066
179,VA,GREAT FALLS,11051073,2017-07-17,SFR,2019,6297.0,4.0,10.0,22066
180,VA,GREAT FALLS,11051074,2012-06-22,SFR,1988,5397.0,5.0,5.0,22066
181,VA,GREAT FALLS,11051076,2021-05-25,SFR,1978,3656.0,5.0,5.0,22066
182,VA,GREAT FALLS,11051077,2010-04-26,SFR,1978,1964.0,5.0,4.0,22066
183,VA,GREAT FALLS,11051078,2019-04-01,SFR,2006,6288.0,5.0,8.0,22066
184,VA,GREAT FALLS,11051079,2006-08-24,SFR,1979,4853.0,4.0,5.0,22066
185,VA,GREAT FALLS,11051080,2020-10-28,SFR,1975,2622.0,5.0,4.0,22066
186,VA,GREAT FALLS,11051082,2015-02-10,SFR,1999,5092.0,4.0,6.0,22066
187,VA,GREAT FALLS,11051083,2022-08-31,SFR,1987,5911.0,4.0,7.0,22066
188,VA,GREAT FALLS,11051084,2006-06-19,SFR,1993,3814.0,4.0,5.0,22066
189,VA,GREAT FALLS,11671962,2018-01-29,SFR,1993,2782.0,4.0,4.0,22066
190,VA,GREAT FALLS,11686938,2015-10-08,SFR,1981,2435.0,4.0,4.0,22066
191,VA,GREAT FALLS,11687325,2021-09-18,SFR,1967,1534.0,3.0,3.0,22066
192,VA,GREAT FALLS,12056684,2022-06-01,SFR,1994,3965.0,5.0,5.0,22066
193,VA,GREAT FALLS,12056687,2011-12-30,SFR,2000,5233.0,6.0,6.0,22066
194,VA,GREAT FALLS,12056689,2007-01-18,SFR,1977,1196.0,3.0,2.0,22066
195,VA,GREAT FALLS,12056690,2020-10-08,SFR,1997,6305.0,5.0,9.0,22066
